Paarkuer U12;P1;86;5.500;5.500;5.000;P2;86;3.500;3.000;2.000;P3;86;7.000;6.500;6.500;P4;86;8.500;9.000;8.500;P5;86;6.000;6.000;5.500
Paarkuer U12;P1;87;2.500;2.000;2.000;P2;87;1.000;2.000;1.000;P3;87;2.500;3.500;2.500;P4;87;5.500;6.000;6.500;P5;87;6.000;5.000;5.500
Paarkuer U12;P1;88;2.000;2.500;2.000;P2;88;1.000;1.000;0.500;P3;88;2.000;2.000;1.000;P4;88;6.500;6.500;6.500;P5;88;5.500;4.000;4.000
Paarkuer U12;P1;89;4.500;5.000;4.000;P2;89;4.500;3.000;3.500;P3;89;7.500;6.000;6.500;P4;89;7.500;9.000;8.500;P5;89;6.500;6.500;6.000
Paarkuer U12;P1;90;4.000;4.500;3.000;P2;90;4.000;3.000;3.500;P3;90;5.000;7.000;2.500;P4;90;7.500;8.500;8.000;P5;90;6.500;6.000;5.500
Paarkuer U12;P1;91;3.000;4.000;3.000;P2;91;3.000;3.500;2.000;P3;91;5.000;5.000;3.000;P4;91;6.500;6.500;6.500;P5;91;6.000;6.250;5.500
Paarkuer U12;P1;92;6.000;6.000;6.000;P2;92;2.500;3.000;1.500;P3;92;8.000;7.500;7.000;P4;92;7.000;7.500;8.500;P5;92;7.500;7.500;7.500
Paarkuer U13;P1;93;4.000;4.000;5.000;P2;93;3.500;3.000;3.000;P3;93;4.000;4.000;3.000;P4;93;6.000;5.000;6.000;P5;93;6.500;6.500;6.000
Paarkuer U13;P1;94;3.000;3.500;5.000;P2;94;2.000;2.500;2.500;P3;94;4.500;3.000;3.500;P4;94;4.500;4.500;6.000;P5;94;5.000;5.000;4.500
Paarkuer U13;P1;95;5.000;5.000;6.000;P2;95;4.500;4.000;3.500;P3;95;3.500;4.500;2.500;P4;95;8.000;5.500;7.000;P5;95;5.500;6.000;5.000
Paarkuer U13;P1;96;6.000;6.000;6.500;P2;96;2.000;2.500;2.500;P3;96;5.000;4.500;4.500;P4;96;6.500;6.500;6.000;P5;96;7.000;7.000;7.000
Paarkuer U15;P1;98;4.000;2.500;2.000;P2;98;3.000;3.500;3.000;P3;98;4.000;3.500;3.000;P4;98;3.000;2.500;3.000;P5;98;4.500;4.500;4.000
Paarkuer U15;P1;99;4.500;2.000;3.000;P2;99;2.000;2.500;1.500;P3;99;5.000;4.500;4.000;P4;99;3.000;3.000;3.000;P5;99;6.000;6.000;6.000
Paarkuer U15;P1;100;6.000;4.000;3.500;P2;100;3.500;3.000;3.000;P3;100;4.000;3.000;6.000;P4;100;4.000;4.000;4.000;P5;100;4.500;4.500;5.000
Paarkuer U15;P1;101;7.500;5.500;4.000;P2;101;5.000;5.500;5.000;P3;101;6.000;5.500;5.000;P4;101;5.000;5.000;4.000;P5;101;6.500;6.500;6.500
Paarkuer U15;P1;102;3.000;1.500;1.500;P2;102;2.500;3.000;2.000;P3;102;4.000;2.500;3.500;P4;102;2.500;3.000;3.000;P5;102;4.500;4.500;4.000
Paarkuer U15;P1;103;5.500;3.500;4.000;P2;103;2.500;2.000;1.500;P3;103;5.500;5.000;5.500;P4;103;3.000;3.000;3.000;P5;103;6.000;5.500;4.000
Paarkuer U17;P1;104;3.000;2.000;2.000;P2;104;3.000;3.500;3.500;P3;104;5.000;3.500;4.000;P4;104;3.000;2.000;3.000;P5;104;4.000;4.000;5.000
Paarkuer U17;P1;105;4.000;4.000;4.400;P2;105;3.300;3.800;3.500;P3;105;5.500;5.500;5.000;P4;105;3.500;4.000;3.500;P5;105;4.000;5.000;4.000
Paarkuer U17;P1;106;3.750;3.500;4.000;P2;106;5.000;4.500;5.000;P3;106;6.000;6.000;6.500;P4;106;3.000;2.500;4.000;P5;106;5.500;6.500;6.000
Paarkuer U17;P1;107;4.500;3.750;4.400;P2;107;3.100;3.200;3.000;P3;107;7.000;5.500;5.500;P4;107;4.500;4.500;3.500;P5;107;3.500;6.500;3.500
Paarkuer U17;P1;108;2.000;2.000;2.000;P2;108;2.700;3.000;3.000;P3;108;3.500;3.000;4.000;P4;108;2.500;2.500;3.500;P5;108;3.000;2.000;3.000
Paarkuer U17;P1;109;5.500;5.500;5.000;P2;109;5.500;4.800;4.800;P3;109;7.500;7.000;7.000;P4;109;5.500;5.000;4.500;P5;109;7.000;8.000;8.000
Paarkuer U17;P1;110;1.500;2.000;1.750;P2;110;4.000;5.000;5.200;P3;110;2.500;3.000;3.000;P4;110;3.500;1.500;4.000;P5;110;2.500;1.500;2.000
Paarkuer U17;P1;111;5.000;4.500;3.000;P2;111;4.500;4.200;5.200;P3;111;5.500;5.500;4.500;P4;111;4.500;4.500;3.500;P5;111;6.000;8.000;8.000
